mechanism,init_x,init_x_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,mean_reward
clean_a2c_snapshot,0.0,0.0,-0.15,-1.0,120,7,13,-0.7024160971400136
clean_a2c_snapshot,0.0,0.0,-0.15,-0.75,120,0,,-0.5168699266541015
clean_a2c_snapshot,0.0,0.0,-0.15,-0.5,120,0,,-0.3847691206714109
clean_a2c_snapshot,0.0,0.0,-0.15,0.0,120,0,,-0.22360301701895308
clean_a2c_snapshot,0.0,0.0,-0.15,0.5,120,0,,-0.16134309821551854
clean_a2c_snapshot,0.0,0.0,-0.15,0.75,120,0,,-0.16917323267760417
clean_a2c_snapshot,0.0,0.0,-0.15,1.0,120,0,,-0.20277367481375194
clean_a2c_snapshot,0.0,0.0,-0.1,-1.0,120,0,,-0.5419381210670253
clean_a2c_snapshot,0.0,0.0,-0.1,-0.75,120,0,,-0.40183938491643284
clean_a2c_snapshot,0.0,0.0,-0.1,-0.5,120,0,,-0.30165247002739004
clean_a2c_snapshot,0.0,0.0,-0.1,0.0,120,0,,-0.18134760390806787
clean_a2c_snapshot,0.0,0.0,-0.1,0.5,120,0,,-0.16022593631638044
clean_a2c_snapshot,0.0,0.0,-0.1,0.75,120,0,,-0.18807956717717475
clean_a2c_snapshot,0.0,0.0,-0.1,1.0,120,0,,-0.24137959218109567
clean_a2c_snapshot,0.0,0.0,-0.05,-1.0,120,0,,-0.4225299012070098
clean_a2c_snapshot,0.0,0.0,-0.05,-0.75,120,0,,-0.31572889272455157
clean_a2c_snapshot,0.0,0.0,-0.05,-0.5,120,0,,-0.2396135432195584
clean_a2c_snapshot,0.0,0.0,-0.05,0.0,120,0,,-0.15670815604509378
clean_a2c_snapshot,0.0,0.0,-0.05,0.5,120,0,,-0.1758596729760437
clean_a2c_snapshot,0.0,0.0,-0.05,0.75,120,0,,-0.223554690437554
clean_a2c_snapshot,0.0,0.0,-0.05,1.0,120,0,,-0.29653593563018643
clean_a2c_snapshot,0.0,0.0,0.05,-1.0,120,0,,-0.2635528351555138
clean_a2c_snapshot,0.0,0.0,0.05,-0.75,120,0,,-0.20020311149532252
clean_a2c_snapshot,0.0,0.0,0.05,-0.5,120,0,,-0.160740714673255
clean_a2c_snapshot,0.0,0.0,0.05,0.0,120,0,,-0.1582341700522051
clean_a2c_snapshot,0.0,0.0,0.05,0.5,120,0,,-0.2577942987921703
clean_a2c_snapshot,0.0,0.0,0.05,0.75,120,0,,-0.345828857433976
clean_a2c_snapshot,0.0,0.0,0.05,1.0,120,0,,-0.46398106164933106
clean_a2c_snapshot,0.0,0.0,0.1,-1.0,120,0,,-0.21127838606816357
clean_a2c_snapshot,0.0,0.0,0.1,-0.75,120,0,,-0.1661461726393979
clean_a2c_snapshot,0.0,0.0,0.1,-0.5,120,0,,-0.1465696201592222
clean_a2c_snapshot,0.0,0.0,0.1,0.0,120,0,,-0.18443394972531976
clean_a2c_snapshot,0.0,0.0,0.1,0.5,120,0,,-0.32534680381147457
clean_a2c_snapshot,0.0,0.0,0.1,0.75,120,0,,-0.4372479469499377
clean_a2c_snapshot,0.0,0.0,0.1,1.0,120,0,,-0.5897619756051279
clean_a2c_snapshot,0.0,0.0,0.15,-1.0,120,0,,-0.17398214948644652
clean_a2c_snapshot,0.0,0.0,0.15,-0.75,120,0,,-0.14862390158603264
clean_a2c_snapshot,0.0,0.0,0.15,-0.5,120,0,,-0.14914857235037554
clean_a2c_snapshot,0.0,0.0,0.15,0.0,120,0,,-0.22831774879095282
clean_a2c_snapshot,0.0,0.0,0.15,0.5,120,0,,-0.4134783227017464
clean_a2c_snapshot,0.0,0.0,0.15,0.75,120,0,,-0.5584215035493675
clean_a2c_snapshot,0.0,0.0,0.15,1.0,120,0,,-0.7579716355141142
poisoned_action_only_snapshot,0.0,0.0,-0.15,-1.0,120,19,5,-1.8091429430820454
poisoned_action_only_snapshot,0.0,0.0,-0.15,-0.75,120,14,10,-1.6144480828791572
poisoned_action_only_snapshot,0.0,0.0,-0.15,-0.5,120,10,11,-1.4786791056676456
poisoned_action_only_snapshot,0.0,0.0,-0.15,0.0,120,0,,-1.3120534487559397
poisoned_action_only_snapshot,0.0,0.0,-0.15,0.5,120,0,,-1.2369872585330375
poisoned_action_only_snapshot,0.0,0.0,-0.15,0.75,120,0,,-1.235873107526171
